ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
1673547186580926390,29664635,2,29656628,scotch.io,scotch.io,https://scotch.io/tutorials/angularjs-best-practices-directory-structure
1673547186580926390,27562950,1,27562950,scotch.io,scotch.io,http://scotch.io/tutorials/javascript/angularjs-best-practices-directory-structure
1673547186580926390,30188960,1,30188960,scotch.io,scotch.io,https://scotch.io/tutorials/angularjs-best-practices-directory-structure
1673547186580926390,27678802,2,27677791,scotch.io,scotch.io,https://scotch.io/tutorials/angularjs-best-practices-directory-structure#a-better-structure-and-foundation
-4214310502996553040,48458294,1,48458294,slegal.de,slegal.de,https://slegal.de
-4214310502996553040,48458294,1,48458294,slegal.de,slegal.de,https://slegal.de/
-4214310502996553040,48458294,1,48458294,slegal.de,slegal.de,https://slegal.de
-6989384187470228972,35215385,1,35215385,snipt.net,snipt.net,https://snipt.net/raw/ee573b6957b7416f28aa560ead71c3a2/?nice
-4900844451686319316,29736087,1,29736087,socket.io,socket.io,http://socket.io/get-started/chat/
1285258962606565063,28879185,1,28879185,spring.io,spring.io,http://spring.io/guides/gs/securing-web/
-4017638730408297936,30417857,2,30417719,sscce.org,sscce.org,http://sscce.org/
4952572869606352479,9532796,2,9532662,sscce.org,sscce.org,http://sscce.org/
-4214310502996553040,45264974,1,45264974,varvy.com,varvy.com,https://varvy.com/tools/gzip/
-4214310502996553040,47655814,1,47655814,varvy.com,varvy.com,https://varvy.com/tools/gzip/
2213539791757019382,50531797,1,50531797,woboq.com,woboq.com,https://woboq.com/blog/qthread-you-were-not-doing-so-wrong.html
6526161178256006278,14783287,1,14783287,zwdha.com,zwdha.com,http://zwdha.com/header.txt
-4475515724740156429,36798604,1,36798604,QuranX.com,QuranX.com,http://QuranX.com
6255419687323887306,14584455,1,14584455,a2op03.com,a2op03.com,http://a2op03.com/slir/w300-h90/images/content/franchise-opportunities-badge.png
6255419687323887306,14584455,1,14584455,a2op03.com,a2op03.com,http://a2op03.com/images/content/franchise-opportunities-badge.png
6255419687323887306,14584455,1,14584455,a2op03.com,a2op03.com,http://a2op03.com/slir/install/
8706202841919150851,37924588,1,37924588,angular.io,angular.io,https://angular.io/guide/quickstart
8706202841919150851,38067110,1,38067110,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html#!#add-config-files
8706202841919150851,38770027,1,38770027,angular.io,angular.io,https://angular.io/guide/quickstart
8706202841919150851,38770027,1,38770027,angular.io,angular.io,https://angular.io/guide/quickstart
8706202841919150851,39118998,1,39118998,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html
8706202841919150851,37752064,1,37752064,angular.io,angular.io,https://angular.io/guide/quickstart
4338704172566074137,40267553,1,40267553,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/toh-pt6.html
4338704172566074137,40349887,1,40349887,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/
-3286411541952082645,37038269,1,37038269,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html
-3286411541952082645,37313754,1,37313754,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html
502621267830018892,41475144,1,41475144,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/toh-pt6.html
891035238737302889,37377529,1,37377529,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/
891035238737302889,37554763,2,37535273,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html
-8701252044853379478,42748354,1,42748354,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html
3542569812550438770,38325077,1,38325077,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/router.html
3542569812550438770,38067110,1,38067110,angular.io,angular.io,https://angular.io/docs/ts/latest/quickstart.html#!#add-config-files
3542569812550438770,38731559,1,38731559,angular.io,angular.io,https://angular.io/docs/ts/latest/guide/testing.html
-5221657954033827981,39877282,1,39877282,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/toh-pt6.html
-7155517812742274910,37222151,1,37222151,angular.io,angular.io,https://angular.io/docs/ts/latest/tutorial/
4513035749191282382,45357243,2,45357120,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
4513035749191282382,45200205,2,45199776,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
4513035749191282382,45722537,2,45722483,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
4513035749191282382,45809651,2,45809515,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
4513035749191282382,45294417,2,45294378,angular.io,angular.io,https://angular.io/guide/pipes#appendix-no-filterpipe-or-orderbypipe
