ContentNormalizedHash,PostId,PostTypeId,ParentId,LinkedPostId,LinkedPostTypeId
4007126617011403298,45336578,1,45336578,10718572,1
-4967932613762243306,50711042,1,50711042,47401074,2
-4278779255725517878,51235842,1,51235842,22076667,2
-5954320584033692762,36818434,1,36818434,218384,1
-3634247926971762478,49468162,1,49468162,14446447,1
-3634247926971762478,49468162,1,49468162,784586,1
-3634247926971762478,49468162,1,49468162,8976911,1
-3634247926971762478,49468162,1,49468162,9354213,1
-989126050583957699,46717186,1,46717186,12152060,1
6109357711910430843,49273858,1,49273858,39153080,1
872506843500280999,21618178,1,21618178,1157549,1
-5088646492950646883,44621570,1,44621570,24325781,2
12760142779360691,49667842,1,49667842,17128173,1
3246162913730198246,50456578,1,50456578,6329843,1
-6629703402794161230,30731522,1,30731522,30706632,1
-6523579497652869873,35255298,1,35255298,35254556,1
3228157286681086561,46330882,1,46330882,3277367,1
4469889548597368580,37876994,1,37876994,17227855,1
-3824976939452254779,37876994,1,37876994,17227855,1
-8782835894791607032,37615362,1,37615362,19718530,2
-4283909612068905299,22807043,1,22807043,22137283,1
9049247511890835483,22807043,1,22807043,22137283,1
-8169927991131544224,22807043,1,22807043,22137283,1
5151980348245382276,22807299,1,22807299,2859212,1
-4883088214301391223,24314883,1,24314883,1749268,1
1285125726859620749,24119299,1,24119299,19741579,1
-1962184747982264288,25235971,1,25235971,25180181,1
-1962184747982264288,25235971,1,25235971,25185489,2
8891637331125691349,25235971,1,25235971,25180181,1
8891637331125691349,25235971,1,25235971,25185489,2
-563011200581953420,27530243,1,27530243,27519056,1
-2867271641017689925,31462915,1,31462915,17001083,1
1664177284453247053,2562051,1,2562051,2218270,2
-2330900257825813621,37099779,1,37099779,3506678,1
7451336452398734819,46602755,1,46602755,26218002,1
-6349322768512621212,50010883,1,50010883,49950107,1
1940455839971643611,31661571,1,31661571,31597182,1
5908459228701073213,40905475,1,40905475,40836700,1
2076718918962437985,40905475,1,40905475,40836700,1
-5225100693346224527,40905475,1,40905475,40836700,1
7092093561717874460,43592963,1,43592963,14968238,1
6803418986631014653,9711363,1,9711363,2459292,1
-8324608698928050868,25571843,1,25571843,24835051,1
-8324608698928050868,25571843,1,25571843,24835051,1
472746107077120136,24458243,1,24458243,24444495,1
-5943749981220175506,24916995,1,24916995,24862938,1
30988818229271258,12728323,1,12728323,8830599,1
30988818229271258,12728323,1,12728323,3448005,1
-2753207596290453286,43727619,1,43727619,1029969,1
-5167517454847755589,50150915,1,50150915,50134103,1
-5167517454847755589,50150915,1,50150915,50134103,1
-7930006167835724564,50150915,1,50150915,50134103,1
-7930006167835724564,50150915,1,50150915,50134103,1
-3570932316577984269,50150915,1,50150915,50134103,1
-3570932316577984269,50150915,1,50150915,50134103,1
-7716149267277033588,4539395,1,4539395,4488472,1
7908017151556222515,32066051,1,32066051,4142151,1
1261781266152190138,33049091,1,33049091,21794575,1
-2194546303324779742,28199683,1,28199683,27844340,1
-3752335202422365176,51137795,1,51137795,7271524,1
4283966359063074308,51137795,1,51137795,7271524,1
8810510430096447419,27676163,1,27676163,13052470,1
1035574465175995486,27744003,1,27744003,20068526,1
1035574465175995486,27744003,1,27744003,20856824,1
-1903103622288451675,36722947,1,36722947,36716273,2
-3014665727586953203,47077891,1,47077891,6893968,1
6160397039710837901,13392899,1,13392899,258757,1
6160397039710837901,13392899,1,13392899,2300285,1
6160397039710837901,13392899,1,13392899,13861004,1
9090495872874464702,37182979,1,37182979,37182139,2
-2812679002706686411,37182979,1,37182979,37182139,2
8106057033186147851,28139011,1,28139011,15730423,1
2270383191726081079,6119171,1,6119171,3629762,1
-1264263109083740763,28535043,1,28535043,12998841,1
4948119929622538362,5597955,1,5597955,5597261,1
-9195734034707331456,28732419,1,28732419,8659390,1
-1177402104295958830,5075203,1,5075203,5059956,1
8166157413661934085,3240707,1,3240707,3231481,1
8166157413661934085,3240707,1,3240707,3199761,1
8166157413661934085,3240707,1,3240707,3238718,1
8166157413661934085,3240707,1,3240707,3197913,1
-1671700088238309935,30374403,1,30374403,29542588,1
4521646285526180490,37583875,1,37583875,33369163,1
4521646285526180490,37583875,1,37583875,34834097,1
4521646285526180490,37583875,1,37583875,32807587,1
4521646285526180490,37583875,1,37583875,33717886,1
4521646285526180490,37583875,1,37583875,33915955,1
