"ContentNormalizedHash","PostCount","PostsLinkingToClones"
"-935936449492353126",1,0
"1573410546261345642",2,1
"4479997933573962540",1,0
"-5218070951659712497",1,0
"2921925739103425347",1,0
"7362753056730524200",1,0
"-6062130018467236951",1,0
"-869348175390725017",1,0
"-8566251010063312658",1,0
"6707001649567409803",1,0
"3058649114462224986",1,0
"-2776692507604444502",1,0
"-4225731269688386552",1,0
"7206583831534596386",2,2
"-7903453265783713975",2,1
"2497497413471396897",1,0
"-4872064486657319033",2,1
"9208235564838467866",1,0
"7983265701281409808",1,0
"7252272700185634184",1,0
"3115575536963666563",1,0
"-5746253567903266103",2,0
"478155882018909880",2,0
"7271146967492503809",1,0
"3296364611339078046",1,0
"6676365842954359979",1,0
"881188264881135730",1,0
"2755996848743733220",1,0
"538409835827488895",2,0
"-5128058636624398336",1,0
"-8509414226576562506",1,0
"7829803446527521700",1,0
"1511356944201978766",1,0
"1071259843413163447",1,0
"-9152312263599898882",1,0
"-6667449672596831935",1,0
"-7186586985964730916",1,0
"4696649738639809315",2,0
"-2645230890361275893",2,0
"-9209274337877771430",1,0
"5186441808041508830",1,0
"-6298872833180953089",2,1
"-7930326486062669845",1,0
"-8820556528664346530",1,0
"8210910120071999578",1,0
"-5746373535400502355",1,0
"8307887815384134078",2,0
"-7852119548829254976",1,0
"4974000571100402541",1,0
"6086156272921639512",1,0
"1471629319951057963",1,0
"613161796009850281",1,0
"-1330472358094430785",1,0
"-7956451625796515216",1,0
"7311906363921605343",1,0
"187956484181401355",1,0
"-8009711763744951078",1,0
"109598067675916591",2,0
"5534765682662356982",1,0
"8419893081566520483",1,0
"8172266976923000172",1,0
"8100619327946199401",1,0
"-6917636332176819461",2,1
"-2780845923408142067",2,0
"-1718064603167309231",2,0
"-190898794798084000",1,0
"-286985258966775730",2,0
"5868666373071270790",8,0
"2173986547918736290",3,1
"-6237599008970747947",1,0
"5616989377865658308",1,0
"7977330604052628480",1,0
"2050712499861677696",1,0
"-4204733672661182376",1,0
"3972418504751109825",1,0
"-6880851819200551998",1,0
"1378262500655963470",1,0
"8541304374232709818",5,0
"-7843133856949444157",1,0
"7155572158323857901",1,0
"928457498567162399",2,1
"6129636017501875932",2,1
"5459181342720342591",4,0
"6888439916938288664",1,0
"2780976368825606887",1,0
"-1941874415676002219",2,0
"-675092315263026867",1,0
"-1426835966922795842",1,0
"3579294752537850138",1,0
"-8814078006498057288",1,0
"-8167102363179144250",1,0
"6424172984543259573",1,0
"-6040878164145398856",1,0
"-7353404091073314261",1,0
"-6324279556814018765",1,0
"-1545593658882134687",2,0
"1393615798986979738",1,0
"-1877482057276451828",1,0
"4222487810543904352",3,2
"23037475020345735",2,1
"-8265057381830143931",1,0
"-6929632776236982284",1,0
"-7984312284717456924",1,0
"5143289450769860024",1,0
"-5963393402250114608",1,0
"-8422789452046077310",1,0
"-1616216305426531546",2,0
"-5214199244163856835",1,0
"-4368458979225532493",1,0
"8031841880558701303",2,0
"8034892141029366400",1,0
"-9194935205512751888",2,1
"-1358547142368066207",1,0
"-8543393104879982532",1,0
"2383885154590369833",2,1
"-3483067662318604657",1,0
"-6231637402943167861",1,0
"661517953109861731",1,0
"-6142243879488893162",2,2
"-2319326325083699422",1,0
"8094240957339730303",1,0
"-4476087928215928295",1,0
"8303746105962241657",1,0
"2674986972190666827",1,0
"7894898015909294886",2,1
"7457160588884377878",2,0
"7226499750180376550",2,1
"1640749367341111139",1,0
"-3598239636196987245",2,1
"-7917205567253916270",2,1
"-9053760294389487002",1,0
"1465731764397827135",1,0
"-8539442660150993066",1,0
"7279746984176898686",1,0
"8272537695542160670",2,0
"-5130905519939591318",1,0
"-5185803585070699004",2,0
"6525000990111830329",2,0
"7654547869333484883",1,0
"3250239643881410073",1,0
"-581702261664098625",1,0
"2341106436650228892",1,0
"3154848958467416257",2,1
"-6020178014902380097",2,0
"8629313849457333643",2,0
"-838615875095582061",2,1
"2540449521372590372",1,0
"-7386559318578437979",1,0
"-213542995919841184",1,0
"4713856177706801172",1,0
"-5017460958999554177",1,0
"-1982573219663970008",1,0
"-3081557933920050145",1,0
"6441689421678003240",1,0
"-8213074337544864338",1,0
"8719118885635443590",1,0
"-4892677610117523466",1,0
"-7956976125434339442",2,1
"4710517518590047171",1,0
"8341807210509572643",1,0
"-7979937388341367240",1,0
"-732951651991743557",1,0
"83174912657288833",1,0
"-1461818096851530275",1,0
"-3019869640219180835",1,0
"-2599890280806634834",1,0
"5416187082836293754",1,0
"1051900528034340992",1,0
"3076463118069584468",1,0
"-4031953781258104649",3,0
"-9073817617200959350",2,0
"4557012389097419571",1,0
"7427196255861134044",1,0
"6509344515071153586",1,0
"-4586165710900576376",1,0
"4596803319277240008",1,0
"-305868968788297430",2,0
"6840458004597779531",1,0
"8259397952774970160",1,0
"-3800637875730696625",1,0
"-2090147582810422648",1,0
"4478159433951153808",1,0
"718255149036685696",1,0
"-493467122622477671",3,2
"-191996829462902904",1,0
"5815707447664756360",1,0
"-7020850783109737708",1,0
"2988342119146429924",3,0
"6145165836040185725",1,0
"-4433223203175414482",1,0
"6205348291595481956",1,0
"4406707085131205210",1,0
"4555801772498633803",1,0
"7349524726939933886",3,0
"3100360950781887894",1,0
"-5900400656084628092",1,0
"-3097687264309937800",1,0
"8961598116345330779",1,0
"-8011197696768474631",1,0
"-4810190735234876816",1,0
"4868597549705666100",1,0
"-3589481019889462736",1,0
"1140335058251155185",1,0
"-2367460088121222170",1,0
"-3943476142838829852",1,0
"3372007407234666386",1,0
"2405573668098670421",2,0
"7578458543343525835",1,0
"-7898147802605556745",1,0
"5183212672364247953",2,0
"-2817560727098248180",1,0
