MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramJaccardNormalized;0.5;26953281133;0.933436671446856;0.9729011805834009;0.9529646581329689;0.9631414547077198;0.9686887068312093;0.9824200859397478;0.9755302366477319;0.9814160300991905;700;3005;14280;42604;8066;24586;5396;18777;42;371;692;0.9922765722692166;0.9356684584706086;0.9806246083141843;0.9977682129762474;0.028146099406166112;6214;18018;4304;13551;36;127;0;0.9917050691244239;0.9713382983525164;0.9907150168153239;0.9973504084786928;0.0
SET;threeShingleDiceNormalized;0.0;28483635974;0.9689671458198617;0.9577639491336256;0.9633492617743414;0.9719738651994498;0.9700912881249395;0.9677405740759559;0.9689152182085452;0.976571299842307;700;3005;14280;42604;8066;24586;5653;18607;212;114;4519;0.9638533674339301;0.9802323565111843;0.9939105816996955;0.9887347893086774;0.18380379077523795;6214;18018;4335;13475;112;96;1097;0.974814481673038;0.9783344617467841;0.992926092402918;0.9917568263781555;0.06088356088356088
FINGERPRINT;winnowingFourGramDiceNormalized;0.9;17743410380;0.8224659834089034;0.9472120260513792;0.8826379045243228;0.9022627876022057;0.9079409960106137;0.9681284739686902;0.9375518817224826;0.9508854781582056;700;3005;14280;42604;8066;24586;4745;18813;6;1022;692;0.9987371079772679;0.8227848101265823;0.9484749180741114;0.9996811732823211;0.028146099406166112;6214;18018;4027;13575;12;404;0;0.9970289675662293;0.9088241931843828;0.9710995064024608;0.9991168028262309;0.0
SET;twoGramJaccard;1.0;18213925578;0.6740072828160222;0.9091743562490942;0.7828091322036669;0.8052620675367723;0.8108779056646354;0.9419064124783363;0.8739399859730207;0.8955633100697906;700;3005;14280;42604;8066;24586;3887;18819;0;1880;0;1.0;0.6740072828160222;0.9091743562490942;1.0;0.0;6214;18018;3593;13587;0;838;0;1.0;0.8108779056646355;0.9419064124783362;1.0;0.0
EQUAL;equal;0.9;244906140;0.6604820530605169;0.905761178225923;0.7734591150003794;0.795530492898914;0.7905664635522456;0.9360661384774371;0.8602456025735405;0.8830350390723469;700;3005;14280;42604;8066;24586;3809;18819;0;1958;0;1.0;0.6604820530605168;0.905761178225923;1.0;0.0;6214;18018;3503;13587;0;928;0;1.0;0.7905664635522456;0.9360661384774371;1.0;0.0
FINGERPRINT;winnowingFourGramJaccardNormalized;0.7;18250766482;0.8719130661762251;0.9600096370240929;0.9149016046419427;0.9309037091850892;0.935562534161976;0.975055912254357;0.9551051147482688;0.9652446820876438;700;3005;14280;42604;8066;24586;5032;18807;12;735;692;0.9976209357652657;0.8725507196115831;0.9623887012588271;0.9993623465646421;0.028146099406166112;6214;18018;4152;13567;20;279;0;0.9952061361457335;0.937034529451591;0.9798497761086234;0.9985280047103849;0.0
PROFILE;cosineTokenNormalizedBool;0.6;14889933313;0.9548908015727715;0.9750857329896934;0.9649354367918622;0.9728968673002463;0.9716961815674798;0.983615850253097;0.9776378500345536;0.9830354093134464;700;3005;14280;42604;8066;24586;5528;18750;69;239;0;0.9876719671252456;0.9585573088260794;0.9874137658644478;0.9963334927466921;0.0;6214;18018;4317;13552;35;114;0;0.9919577205882353;0.974272173324306;0.9916581296648617;0.9974240082431737;0.0
EDIT;damerauLevenshtein;0.5;591742398394;0.9409739996820947;0.97436600981221;0.9575244547306759;0.9668591737005776;0.9704205685878298;0.9827864663679589;0.9765839449290669;0.9822323462414579;700;3005;14280;42604;8066;24586;5441;18772;47;326;0;0.9914358600583091;0.9434714756372464;0.9829301497539009;0.9975025240448483;0.0;6214;18018;4312;13550;37;119;0;0.9914922970797885;0.9731437598736177;0.9912941692881703;0.9972768087142121;0.0
FINGERPRINT;winnowingFiveGramOptimalAlignmentNormalized;0.2;48513805445;0.9642180817133843;0.9753232091551087;0.9697547492959655;0.9767482517482518;0.978638278784048;0.9832897635482452;0.9809612641408569;0.9856188427131695;700;3005;14280;42604;8066;24586;5587;18733;86;180;910;0.9848404724131853;0.968787931333449;0.9904827367419236;0.9954301503799352;0.03701293419018954;6214;18018;4352;13539;48;79;21;0.9890909090909091;0.9821710674791243;0.9941988544573359;0.9964672113049238;0.0011655011655011655
EDIT;damerauLevenshteinNormalized;0.0;532620137987;0.9675994859004406;0.9621804968880088;0.9648861871393268;0.9731456696312927;0.9730007461132524;0.9716720808302779;0.9723361865246385;0.9791455303798895;700;3005;14280;42604;8066;24586;5635;18640;179;132;0;0.9692122463020296;0.9771111496445292;0.9929682505859792;0.9904883362559116;0.0;6214;18018;4343;13490;97;88;0;0.9781531531531531;0.9801399232678853;0.9935189276771248;0.9928608228453669;0.0
