MetricType;Metric;Threshold;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;RuntimeText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;RuntimeCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
FINGERPRINT;winnowingThreeGramOverlap;0.7;0.9560349712384739;0.962425964058413;0.9592251450351713;0.9687309467816392;4755407704;0.9745444971478026;0.9781200134374739;0.9763306185128195;0.9821347806422432;7823238756;700;3005;14280;42604;8066;24586;5561;18666;152;207;1093;0.973394013653072;0.9641123439667129;0.989031950405341;0.9919226272717611;0.0;6214;18018;4343;13517;67;91;0;0.9848072562358277;0.9794767704104645;0.9933127572016461;0.995067726737338;0.0
SET;twoShingleDice;0.9;0.7944246471308714;0.9388672534751819;0.8636314529617085;0.8849642926076048;6303453000;0.8662700765526905;0.9567303764978896;0.9103773374206494;0.9279246649764578;7156262269;700;3005;14280;42604;8066;24586;4585;18809;9;1183;16469;0.9980409229429691;0.7949029126213593;0.9408263305322129;0.9995217345095122;0.0;6214;18018;3843;13578;6;591;6270;0.9984411535463756;0.8667117726657646;0.9582892229515139;0.9995583038869258;0.0
SET;tokenJaccard;0.9;0.7670852773387065;0.931648600976942;0.8453720633322439;0.8677839851024208;2739420408;0.8608573566609448;0.9551001529337162;0.9067552001510568;0.9248092989466038;3682610081;700;3005;14280;42604;8066;24586;4427;18810;8;1341;0;0.9981961668545659;0.7675104022191401;0.9334524341223761;0.9995748751195663;0.0;6214;18018;3819;13578;6;615;0;0.9984313725490196;0.861299052774019;0.9566687803846967;0.9995583038869258;0.0
EDIT;longestCommonSubsequence;0.9;0.8118819087399571;0.9434713325333628;0.875207007683678;0.8956422018348623;128389996003;0.8942404779323283;0.9645484683429255;0.928729391868198;0.9435263345618833;221849597971;700;3005;14280;42604;8066;24586;4686;18808;10;1082;0;0.997870528109029;0.8124133148404993;0.9456008044243338;0.999468593899458;0.0;6214;18018;3968;13575;9;466;0;0.9977369876791552;0.8949030221019395;0.9668114806637704;0.9993374558303887;0.0
FINGERPRINT;winnowingTwoGramOverlap;0.4;0.9570213707800939;0.9532488432670898;0.9551332444627865;0.9656841559339615;5034053755;0.9653037442760808;0.9647177840858936;0.9650107197061785;0.9736248872858431;7965088774;700;3005;14280;42604;8066;24586;5586;18603;215;182;0;0.9629374245819686;0.9684466019417476;0.9903114186851211;0.9885747688383463;0.0;6214;18018;4319;13465;119;115;0;0.973186119873817;0.974064050518719;0.9915316642120766;0.9912396937573617;0.0
PROFILE;cosineTwoGramNormalizedBool;0.7;0.9535221242564553;0.9762691705738926;0.9648286134706545;0.9727633318642573;13649056157;0.9754874595759397;0.9828427081948932;0.9791581775074818;0.9842385758022453;15238001578;700;3005;14280;42604;8066;24586;5518;18759;59;250;8;0.9894208355746817;0.9566574202496533;0.9868483349992109;0.996864704006802;0.0;6214;18018;4340;13539;45;94;0;0.9897377423033067;0.9788001804239964;0.9931049658915866;0.9966872791519434;0.0
SET;twoShingleOverlapNormalized;0.4;0.9692197572808163;0.9702703792760565;0.9697449259979168;0.9768369914114687;12709427511;0.9715577189434039;0.9745250703869581;0.9730402635237214;0.9796564195298373;14592205590;700;3005;14280;42604;8066;24586;5630;18689;129;138;13934;0.9776002778260114;0.9760748959778086;0.9926701014500452;0.9931448613030077;0.0;6214;18018;4334;13504;80;100;308;0.9818758495695514;0.97744700045106;0.9926492208174067;0.9941107184923439;0.0
PROFILE;cosineThreeShingleNormalizedTermFrequency;0.8;0.8774856317666755;0.9592313994139805;0.917448511103053;0.9333456085435463;15084024029;0.9245585230415152;0.9708854858236351;0.947438890280288;0.9591312470808034;16957226320;700;3005;14280;42604;8066;24586;5069;18793;25;699;27561;0.9950922654102866;0.8788141470180305;0.9641391340036938;0.9986714847486449;1.0;6214;18018;4107;13561;23;327;8093;0.9944309927360775;0.9262516914749662;0.9764544930875576;0.9983068315665489;0.0
SET;threeShingleOverlap;0.8;0.9033423711679245;0.9572901204696707;0.9299251192008422;0.9446900658666426;6819747281;0.908863767131912;0.9634702551008512;0.9357687778348365;0.9498178399341873;7972052084;700;3005;14280;42604;8066;24586;5235;18738;80;533;29766;0.9849482596425212;0.9075936199722607;0.9723418608271496;0.9957487511956638;1.0;6214;18018;4041;13550;34;393;11489;0.9916564417177914;0.9113667117726658;0.9718138133830596;0.9974970553592462;0.0
FINGERPRINT;winnowingFourGramDiceNormalized;0.3;0.96831970201753;0.9749118175404101;0.9716101690771349;0.9782229965156795;7517833647;0.9808452912046488;0.9820398192818027;0.9814423735085115;0.9860045146726861;10678071863;700;3005;14280;42604;8066;24586;5615;18721;97;153;2729;0.9830182072829131;0.9734743411927878;0.9918936102574971;0.9948453608247423;0.0;6214;18018;4368;13526;58;66;0;0.9868956168097605;0.9851150202976996;0.9951442024720424;0.9957302709069493;0.0
PROFILE;manhattanTwoGramNormalized;0.8;0.8965955589780434;0.9655279974614908;0.9304236210420156;0.9442874076775782;13336636866;0.9539557204129352;0.9798862214009056;0.9668340427701178;0.9745889387144994;15033576634;700;3005;14280;42604;8066;24586;5178;18797;21;590;8;0.9959607616849394;0.8977115117891817;0.9695672357765514;0.9988840471888617;0.0;6214;18018;4238;13559;25;196;0;0.9941355852685902;0.9557961208840776;0.9857506361323155;0.9981595995288575;0.0
SET;tokenDice;0.4;0.9655039314469915;0.9754183789256055;0.9704484940780337;0.9772965420887181;2486794142;0.9721874895403491;0.9807326509672112;0.9764507226962682;0.9821813642038362;3599121281;700;3005;14280;42604;8066;24586;5596;18730;88;172;0;0.9845179451090781;0.9701803051317615;0.9909004338165274;0.9953236263152301;0.0;6214;18018;4327;13534;50;107;0;0.9885766506739776;0.9758682904826342;0.9921560002932336;0.9963191990577149;0.0
