MetricType;Metric;Threshold;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
SET;fourGramJaccard;0.01;21663830490;0.9762387206249143;0.9679039632240571;0.972062408873853;0.9786317422023091;0.9772053506679965;0.9741014578621914;0.9756521699439966;0.981650343352471;700;3005;14280;42604;8066;24586;5679;18659;160;88;568;0.9725980476108923;0.9847407664296861;0.9953059156131647;0.9914979541952282;0.023102578703327097;6214;18018;4360;13495;92;71;0;0.9793351302785265;0.9839765290002257;0.994766327583665;0.9932288216677707;0.0
SET;fourGramDiceNormalizedPadding;0.9;24360648518;0.8284007471428905;0.949647226633914;0.8869546054143402;0.9060396321228785;0.9128275320324661;0.9701002018016696;0.94102825304813;0.9537047944398633;700;3005;14280;42604;8066;24586;4778;18817;2;989;692;0.999581589958159;0.82850702271545;0.9500656366757548;0.9998937244274404;0.028146099406166112;6214;18018;4048;13577;10;383;0;0.9975357318876293;0.9135635296772737;0.9725644699140401;0.9992640023551924;0.0
SET;fourGramDiceNormalized;0.12;24098724116;0.9782607668078334;0.9723204465548756;0.9752860839926445;0.9810962451445835;0.9792905610569345;0.9773609856933829;0.9783252976565777;0.9836619718309859;700;3005;14280;42604;8066;24586;5683;18684;135;84;692;0.9767961498796838;0.9854343679556095;0.9955242966751918;0.9928263988522238;0.028146099406166112;6214;18018;4365;13508;79;66;0;0.9822232223222322;0.9851049424509141;0.9951377633711507;0.9941856186060205;0.0
SET;fiveGramDice;0.6;19869440650;0.9448419458609529;0.9757146076129286;0.9601542003563572;0.9689606243348705;0.9734329267207955;0.9833746746495051;0.9783911731036711;0.9836289222373805;700;3005;14280;42604;8066;24586;5463;18773;46;304;825;0.9916500272281721;0.9472862840298248;0.9840645803847565;0.9975556618311281;0.033555682095501506;6214;18018;4326;13548;39;105;0;0.99106529209622;0.976303317535545;0.992309382553285;0.9971296091852506;0.0
PROFILE;manhattanFiveGramNormalized;0.48;37890748340;0.955609566839692;0.9764351079619602;0.9659662160586139;0.9736772603222115;0.9759939194734861;0.9838184500437093;0.9798983748881769;0.9847900113507377;700;3005;14280;42604;8066;24586;5530;18757;62;237;910;0.9889127324749643;0.958904109589041;0.9875223754869958;0.996705457250651;0.03701293419018954;6214;18018;4338;13546;41;93;21;0.9906371317652432;0.979011509817197;0.9931813182784661;0.9969824096562891;0.0011655011655011655
SET;tokenDiceNormalized;0.93;24126643848;0.8130212509773753;0.9456050353094085;0.8768106915051621;0.8968155302668069;0.9021370790381242;0.9679249322106465;0.9344522304926491;0.9481920569057499;700;3005;14280;42604;8066;24586;4689;18818;1;1078;587;0.9997867803837953;0.8130743887636552;0.9458182549256132;0.9999468622137202;0.02387537623037501;6214;18018;3999;13582;5;432;0;0.9987512487512488;0.9025050778605281;0.9691736834593977;0.9996320011775962;0.0
EQUAL;equal;0.62;276093965;0.6604820530605169;0.905761178225923;0.7734591150003794;0.795530492898914;0.7905664635522456;0.9360661384774371;0.8602456025735405;0.8830350390723469;700;3005;14280;42604;8066;24586;3809;18819;0;1958;0;1.0;0.6604820530605168;0.905761178225923;1.0;0.0;6214;18018;3503;13587;0;928;0;1.0;0.7905664635522456;0.9360661384774371;1.0;0.0
SET;fiveGramDiceNormalizedPadding;0.94;24559354749;0.7811687185711809;0.9371545241770827;0.8556142815279538;0.8771417445482866;0.8821249193803529;0.9620381523805492;0.9212154078224678;0.9370880766926303;700;3005;14280;42604;8066;24586;4505;18819;0;1262;910;1.0;0.7811687185711809;0.9371545241770828;1.0;0.03701293419018954;6214;18018;3910;13583;4;521;21;0.9989780275932549;0.8824193184382758;0.9630601247872944;0.9997056009420769;0.0011655011655011655
SET;tokenDiceNormalized;0.12;24426850716;0.9788872435248355;0.9728277523996047;0.9758527947241379;0.9815294320731918;0.9797419264372098;0.9775156281508368;0.978628144213613;0.9838909541511771;700;3005;14280;42604;8066;24586;5686;18686;133;81;587;0.9771438391476198;0.985954569100052;0.9956839132519849;0.9929326744247835;0.02387537623037501;6214;18018;4367;13508;79;64;0;0.9822312190733243;0.9855563078311893;0.9952844090775125;0.9941856186060205;0.0
SET;fiveGramDiceNormalized;0.78;24243024680;0.8952829669125002;0.966040474381539;0.9299890225491176;0.9438407451374304;0.9490347792024507;0.9785167337536707;0.9636630180534158;0.9720812182741116;700;3005;14280;42604;8066;24586;5168;18803;16;599;910;0.9969135802469136;0.8961331714929773;0.9691268941346253;0.9991497954195229;0.03701293419018954;6214;18018;4213;13563;24;218;21;0.9943356148218079;0.9508011735499887;0.9841811189318627;0.9982336056524619;0.0011655011655011655
