"PostId","EditCount","CommentCount"
41435386,1,9
19599928,2,6
34278813,2,6
25467356,2,21
13492847,1,2
28931927,2,6
22432819,2,4
21240221,1,3
24057715,1,2
48706579,1,1
26155755,2,2
23954005,1,3
35579088,2,3
24078249,3,4
38181840,1,1
9509020,1,2
19403113,1,3
33492487,1,6
49065012,1,3
40140062,5,10
4763876,1,9
376732,6,18
5465550,2,1
45872491,3,1
27970737,7,19
5612997,2,5
11719084,1,8
21176131,2,7
38070148,1,3
10189759,2,9
49593740,2,1
4429196,2,1
10831059,2,4
22805451,1,5
32590670,1,3
24681568,1,3
5602842,1,1
31247372,2,4
2518611,1,2
27598728,3,6
33901140,2,2
9001702,4,7
11767607,2,7
27738909,1,8
8520999,2,19
44443223,1,1
43935947,3,10
38108211,4,13
20111984,2,4
29432786,4,1
32619998,3,4
35811117,4,3
