"PostId","PostTypeId","PostHistoryId","PostHistoryTypeId","CreationDate","UserId","UserDisplayName","Comment"
13864443,1,33215124,5,"2012-12-14 19:57:23",1346519,"","added 129 characters in body"
16245209,1,39767980,2,"2013-04-26 21:04:49",1907509,"",""
16245209,1,39768477,5,"2013-04-26 21:20:21",2219831,"","added 673 characters in body"
17591278,1,43513208,2,"2013-07-11 10:42:02",1916279,"",""
17591278,1,43658420,5,"2013-07-13 15:10:12",1916279,"","deleted 4389 characters in body"
18996869,1,47971532,2,"2013-09-25 05:25:04",2813545,"",""
18996869,1,48016978,5,"2013-09-25 16:10:55",2813545,"","deleted 1187 characters in body"
19063366,1,48203027,2,"2013-09-28 04:42:28",819916,"",""
20849332,1,54632960,2,"2013-12-30 23:31:16",1476269,"",""
20849332,1,54633467,5,"2013-12-30 23:43:47",1476269,"","Added blankOutImageView code"
20849332,1,54634337,5,"2013-12-31 00:08:28",1476269,"","Added some data."
24057715,1,66655337,2,"2014-06-05 10:27:09",1469208,"",""
24057715,1,66658966,5,"2014-06-05 11:12:20",1469208,"","added 147 characters in body; edited tags"
24987992,1,70246384,2,"2014-07-28 03:18:19",2992738,"",""
24987992,1,70246819,5,"2014-07-28 03:36:50",2992738,"","added 61 characters in body"
24987992,1,70248430,5,"2014-07-28 04:36:04",2992738,"","deleted 1 character in body"
26215789,1,74941737,2,"2014-10-06 12:00:18",4070833,"",""
26215789,1,74941918,5,"2014-10-06 12:03:12",523908,"","wrong formatting"
26215789,1,74942535,5,"2014-10-06 12:14:27",3017818,"","improved formatting - removed all the empty lines, were way too many of them"
26215789,1,74942537,5,"2014-10-06 12:14:27",1869846,"","improved formatting - removed all the empty lines, were way too many of them"
27812239,1,81072331,2,"2015-01-07 04:04:26",3936403,"",""
27970737,1,81682301,2,"2015-01-15 18:46:50",4031604,"",""
27970737,1,81682823,5,"2015-01-15 18:55:00",825844,"","useful words highlighting"
27970737,1,81683132,5,"2015-01-15 18:59:26",4031604,"","added 566 characters in body"
27970737,1,82079872,5,"2015-01-21 18:14:32",16287,"","grammar"
28689154,1,84449404,2,"2015-02-24 06:03:12",4599839,"",""
28689154,1,84449503,5,"2015-02-24 06:06:54",1391249,"","added 2 characters in body; edited tags; edited title"
28963727,1,85502063,2,"2015-03-10 12:26:48",1032765,"",""
29248101,1,86603299,2,"2015-03-25 05:28:01",4710462,"",""
29744638,1,88537825,2,"2015-04-20 09:56:37",4728605,"",""
29744638,1,88538894,5,"2015-04-20 10:08:41",4728605,"","added 213 characters in body"
30239694,1,90471042,2,"2015-05-14 14:17:21",4401721,"",""
30239694,1,90471416,5,"2015-05-14 14:21:38",3111149,"","added 152 characters in body"
30389438,1,91058793,2,"2015-05-22 06:04:55",4702701,"",""
30389438,1,91058836,5,"2015-05-22 06:05:29",3636601,"","added 30 characters in body"
30389438,1,91059238,5,"2015-05-22 06:12:53",4513879,"","formatting"
30389438,1,91060977,5,"2015-05-22 06:45:11",2706726,"","code edited"
30703197,1,92299508,2,"2015-06-08 07:18:08",2262511,"",""
30703197,1,92304757,5,"2015-06-08 08:39:40",2262511,"","added 1195 characters in body"
30815560,1,92730260,2,"2015-06-13 05:50:42",4980528,"",""
30815560,1,92744260,5,"2015-06-13 08:56:21",1862812,"","deleted 4 characters in body; deleted 67 characters in body"
32244415,1,98329864,2,"2015-08-27 08:33:56",1617002,"",""
32794732,1,100490503,2,"2015-09-26 07:27:09",5378691,"",""
32794732,1,100490901,5,"2015-09-26 07:40:19",692410,"","Made stack trace a code block"
33450324,1,103083663,2,"2015-10-31 10:03:14",2176403,"",""
33450324,1,103153470,5,"2015-11-01 21:53:42",2176403,"","added 7 characters in body"
33450324,1,103153661,5,"2015-11-01 21:59:06",2176403,"","added 7 characters in body"
33776809,1,104385131,2,"2015-11-18 09:56:11",3513092,"",""
34059371,1,105517375,2,"2015-12-03 06:38:47",2006939,"",""
34059371,1,105518789,5,"2015-12-03 07:03:50",2006939,"","added 86 characters in body"
34631170,1,107811903,2,"2016-01-06 10:45:31",2235817,"",""
34631170,1,107817881,5,"2016-01-06 12:06:37",4720935,"","deleted 32 characters in body; added 10 characters in body; edited title"
36098769,1,113607416,2,"2016-03-19 06:47:16",6085590,"",""
36118191,1,113695207,2,"2016-03-20 19:05:49",1624552,"",""
36118191,1,113696572,5,"2016-03-20 19:35:36",1624552,"","added 341 characters in body"
36098769,1,113727592,5,"2016-03-21 08:40:24",6085590,"","deleted 99 characters in body"
37008733,1,117217378,2,"2016-05-03 15:49:42",2371515,"",""
38181840,1,121871754,2,"2016-07-04 09:59:04",2959172,"",""
38181840,1,121872385,5,"2016-07-04 10:07:19",2959172,"","added 36 characters in body"
39196951,1,125908303,2,"2016-08-29 00:11:28",2615065,"",""
39196951,1,125914166,5,"2016-08-29 04:20:25",13302,"","added 2 characters in body; edited title"
39907986,1,128743938,2,"2016-10-07 01:24:08",6934855,"",""
40971189,1,133115500,2,"2016-12-05 09:39:35",1398399,"",""
43798210,1,144678096,2,"2017-05-05 06:43:34",508343,"",""
43798210,1,144678426,5,"2017-05-05 06:49:00",508343,"","added 3 characters in body; edited title"
27812239,1,146280094,5,"2017-05-23 10:33:41",-1,"","replaced http://stackoverflow.com/ with https://stackoverflow.com/"
7953840,1,146307259,5,"2017-05-23 10:34:45",-1,"","replaced http://stackoverflow.com/ with https://stackoverflow.com/"
13864443,1,146613267,5,"2017-05-23 11:53:38",-1,"","replaced http://stackoverflow.com/ with https://stackoverflow.com/"
11252831,1,151246595,5,"2017-07-10 14:55:28",1033581,"","spelling in title"
45114530,1,151634435,2,"2017-07-15 04:38:44",8291014,"",""
48114152,1,164061244,2,"2018-01-05 12:58:34",9177460,"",""
48114152,1,164066898,5,"2018-01-05 14:23:16",1464444,"","deleted 89 characters in body"
48706579,1,166532106,2,"2018-02-09 13:06:22",729513,"",""
48706579,1,166532551,5,"2018-02-09 13:12:42",729513,"","Equivalent calls with btmgmt"
49676981,1,170611786,2,"2018-04-05 16:13:44",9502376,"",""
49676981,1,170612212,5,"2018-04-05 16:19:18",519413,"","deleted 18 characters in body"
51748818,1,179346259,2,"2018-08-08 14:11:05",6731368,"",""
