"HashValue","ThreadCount","LineCount"
"8548121773174631069",6,34
"456982527541997392",6,34
"-1851527442523412466",6,34
"4643999098128896890",6,33
"-7514942407135675973",6,33
"-924302019484094658",6,33
"7342102130512535530",6,33
"-5346906713346630549",6,33
"-4799520873217493861",6,33
"-3246318112009415799",6,32
"5563126138473683008",6,32
"3850447979758014203",6,32
"-3183321918051084094",6,32
"7045871458141450906",6,32
"1175100714651007221",6,32
"2629021027277073628",6,31
"1872428149451979175",6,31
"4569389601242930879",6,31
"1008521643157527875",6,31
"7927837087022961314",6,31
"-4812687113871470868",6,31
"1489435304297791714",6,31
"605755867590594438",6,31
"4046408556618258622",6,31
"2205885540475579327",6,31
"-4966531389409993850",6,31
"-487633953771802194",6,30
"2039709304200908128",6,30
"4593371915952167168",6,30
"-1371849453416404263",6,30
"-5154293555401981576",6,30
"-1106593389650927535",6,30
"5365575774746093938",6,29
"8852175732964866462",6,29
"-6518812352261526122",6,29
"-7459502751373155471",6,29
"-5743783628109005416",6,29
"8191950772501091725",6,28
"-8905432928692542380",6,28
"-2874741114768357648",6,28
"-6965369180338499428",6,28
"1851257398938410938",6,28
"1350250307879608577",6,28
"3659541409241838865",6,28
"-6372083550668317880",6,28
"-3022291363943991175",6,28
"1427251776819570189",6,27
"8233748811501017858",6,27
"-829113233595852810",6,27
"6700156139201303874",6,26
"-327602582593729101",6,26
"4134500457216001118",6,26
"-6420570794861275689",6,26
"-5620897422975587745",6,25
"4101491992123198313",6,25
"4639911643671854137",6,24
"8914898676521542388",6,24
"5082213845233831783",6,24
"2208405043291536306",6,24
"-8614284014379512735",6,24
"-2019655618643624810",6,24
"2121196622318997529",6,24
"-4047753210835136889",6,23
"7537228934732387888",6,23
"-2538101193556045117",6,23
"-8169927991131544224",6,23
"9106322759522864506",6,22
"2176712100122616322",6,22
"-3467747552777263715",6,22
"-4083603927361664426",6,22
"6141336676874606640",6,22
"6509993969430533865",6,21
"-1887973469034586451",6,21
"-2764061479047435706",6,20
"6112468355014843181",6,20
"-442327044831529568",5,486
"-8119453640139065022",5,482
"-8527486550530475939",5,476
"4995404664854118945",5,337
"-7761885323131420759",5,256
"9009958692045172579",5,254
"-3740507415921173751",5,231
"-185425268673291297",5,211
"-5666949083299967796",5,205
"-76726864403651272",5,194
"-8693476503271385078",5,190
"6871453944325266544",5,178
"-371925691861619294",5,172
"2224160720556971315",5,171
"-7828715727391298505",5,171
"-2694045080617003588",5,169
"-3904919059309997257",5,167
"-6436567475961792568",5,165
"8347177713365853519",5,164
"-1215409948733236595",5,163
"-3385713842963048302",5,163
"2417057025895069362",5,159
"-6399184475508811232",5,158
"-7677445004740838465",5,154
"-3758241340568249917",5,152
"103240605998027427",5,151
"5046719397689471494",5,149
"-6905843637389648043",5,147
"4627781587929840327",5,147
"-6558378006181429454",5,144
"-3861846715682788471",5,143
"6955247669234077587",5,142
"-5801396378476524403",5,139
"4224646969551491353",5,137
"-8266844919324230833",5,136
"3868174945026487646",5,135
"-4372770906104678669",5,134
"-3265155400985436101",5,130
"-4340911373998630966",5,130
"2010810905777141504",5,127
"2233774913841160295",5,122
"-3472801667625872321",5,121
"-7482135589399341495",5,121
"-2733805713692523092",5,118
"-3409418973436338563",5,116
"387558984317684084",5,116
"1821059283717053505",5,115
"-5489188430571516545",5,113
"7119204518489074670",5,112
"4378234844529697892",5,111
"-1458007427702880306",5,108
"-4813517850796026848",5,108
"-8230587640484649206",5,106
"4808235503744363167",5,105
"6914994741053385585",5,104
"-1162704615312877246",5,102
"-3213827792157603634",5,101
"3548034332078653992",5,101
"-8811949093399830323",5,98
"4620259629292676845",5,97
"-2904074365666005080",5,97
"-2705356804419274619",5,97
"1875898391105156794",5,95
"8553742256145559791",5,95
"-4570570704698349907",5,93
"1471806529092789260",5,91
"7482384650639612460",5,91
"4527902532025964226",5,90
"6476838889549613891",5,89
"-8507762855062252813",5,88
"-7456150304525682024",5,87
"1458748944072067785",5,85
"-5049830321457974137",5,85
"186014685163879330",5,84
"-1031584601152447846",5,82
"1520765279105896189",5,81
"645706294631984879",5,81
"43178950987610100",5,80
"-2252433397118110745",5,80
"-2757842482450860645",5,80
"-3775021492815914675",5,80
"1530286527606535273",5,78
"-6662009173646869369",5,78
"-165839923263184599",5,77
"7159015309253547098",5,77
"-5767330620164557894",5,76
"-466239049395721922",5,76
"6860669719297625812",5,75
"-3484848521948378006",5,74
"6776204375154982743",5,74
"1380020306243206706",5,74
"-6575378853826798377",5,73
"3912357046976998076",5,73
"-9220481515933324771",5,72
"3814033865054873571",5,72
"1027556597406440129",5,72
"7924267293037309483",5,72
"-2121559312720786127",5,71
"2427110648985008414",5,71
"-4224576669183711181",5,71
"2983797230092716232",5,71
"-3805473677603963296",5,70
"4443354047171830710",5,69
"2144797576738833496",5,69
"-1897974882030218244",5,68
"4772594179063288144",5,68
"-3772369750489114664",5,68
"5022669134102217162",5,68
"-3779640236726184136",5,67
"7296323181211653401",5,67
"-1531828045537351071",5,67
"-8968022109789903351",5,67
"248102408035077408",5,66
"4952572869606352479",5,66
"3660131018023688024",5,65
"630827834554616142",5,65
"6526161178256006278",5,65
"1723753797070003546",5,65
"-7084009160264564981",5,65
"-8103933465944568373",5,64
"6836089531613795265",5,64
"8536086212063785187",5,64
"-5170660584319779116",5,64
"-291649677388789482",5,64
"8007275197034034836",5,63
"2686492970508159630",5,63
"-6842642137946709059",5,63
"-6793656343777026782",5,63
"3233517897659972142",5,62
"-1824768272201778190",5,62
"-1419452326137323455",5,61
"7201995205009456406",5,61
"7127577845987685987",5,61
"2722066141132481138",5,61
"7494245502747693139",5,60
"433611270435090206",5,60
"-8701252044853379478",5,60
"1344295840820905821",5,59
"-8631880304903505811",5,59
"-5479688973704674035",5,59
"-3854666211699261835",5,59
"7028095738708646169",5,58
"-4373213969592169847",5,58
"2555332344313342953",5,58
"-5103831139330865298",5,58
"2217891423055844981",5,58
"-8923269899472139817",5,57
"-1638004129931638355",5,57
"985360751943875297",5,56
"5151860288147917767",5,56
"8833740642451100621",5,56
"3149346302013741973",5,56
"2139559183546032206",5,56
"7354644300220592305",5,56
"-4576408397067634592",5,56
"8680749741017432481",5,55
"-2702174093106255284",5,55
"6397820352807159964",5,55
"7278243207910670707",5,55
"5125943696606500955",5,54
"7431128153359959656",5,54
"478359489281472843",5,54
"4995676487870815889",5,54
"2451959448074786619",5,53
"3864838319821062167",5,53
"-3655260731246317935",5,53
"4364389210239291192",5,53
"2666269259783835616",5,52
"8727656016298049526",5,52
"-574489661167708308",5,52
"3062601997425763773",5,52
"-9095893569078000211",5,51
"-2972888550122734567",5,51
"-8649425730671794367",5,51
"3028368276013726183",5,51
"-6955766529151959903",5,51
"-6749304628289892192",5,51
"-6274542886711721985",5,51
"5936719335336610102",5,51
"4087760709374943075",5,50
"8297577544793673538",5,50
"-5702274559152720717",5,50
"349584006112236124",5,50
"-2019168321510339597",5,50
"-8758948997694596587",5,50
"-2634030680299155558",5,50
"-732970757702062767",5,49
"-1033387455479850853",5,49
"-724826337465296958",5,49
"4062630883199219009",5,49
"-4807293101914074006",5,49
"-30516825193219210",5,49
"-5541670556753305688",5,49
"9035380677464758126",5,48
"-4017638730408297936",5,48
"6108429274627718710",5,48
"2888000316185205065",5,47
"-3796903343839211530",5,47
"-7568506451591210953",5,47
"-6110592690985901116",5,47
"5582434226374448583",5,46
"7300732857516991267",5,46
"-6718037721949328210",5,46
"3257298038383163839",5,46
"5206663166702441949",5,46
"3307585437984286564",5,46
"6795664976140165844",5,46
"-4549631338714295664",5,45
"-7339073597056776585",5,45
"4164830290195186171",5,45
"6339235602410363994",5,45
"7212461850433373",5,45
"-7454146080824061102",5,45
"-1130458606136333824",5,45
"8800888183290423112",5,44
"-8088230548019605440",5,44
"7081788974001428331",5,44
