sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleDice;0.9;87;10015643;152;379;1;64;93;11500655;120;220;1;21
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramOptimalAlignment;0.8;96;17969157;201;452;1;50;97;186319771;137;234;1;13
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramDice;0.7;97;9340913;238;468;3;22;97;16770499;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramJaccardNormalizedPadding;0.6;96;22406363;222;452;1;29;97;32675429;142;233;2;8
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeGramNormalizedTermFrequency;0.8;97;31905920;237;468;3;23;97;40789334;145;232;3;5
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramDiceNormalized;0.3;97;14809577;257;467;4;3;97;24004914;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoGramNormalizedTermFrequency;0.9;97;25340216;231;468;3;29;97;31319773;144;232;3;6
PostId_VersionCount_SO_17-06_sample_100_1;damerauLevenshtein;0.3;97;531216941;253;468;3;7;97;2003019296;147;231;4;3
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramOptimalAlignmentNormalized;0.8;97;32133165;208;470;1;52;97;275913189;137;234;1;13
PostId_VersionCount_SO_17-06_sample_100_1;levenshteinNormalized;0.7;97;88833931;226;470;1;34;97;575058874;143;233;2;7
PostId_VersionCount_SO_17-06_sample_100_1;twoGramDiceNormalizedPadding;0.3;97;17863361;257;466;5;3;97;26412461;148;231;4;2
PostId_VersionCount_SO_17-06_sample_100_1;levenshtein;0.7;97;85973869;226;470;1;34;97;730864009;143;233;2;7
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramJaccardNormalized;0.8;96;21520508;198;452;1;53;97;32010037;136;234;1;14
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramOverlapNormalized;0.6;96;19851244;245;449;4;6;97;30450904;147;232;3;3
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleJaccardNormalized;0.8;85;19798925;150;328;1;51;94;31608763;124;223;1;19
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramJaccard;0.6;97;10244382;240;468;3;20;97;17359807;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;fourGramOverlapNormalizedPadding;0.8;97;20522927;249;466;5;11;97;30769989;144;233;2;6
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleDiceNormalized;0.4;92;21212204;232;436;3;5;96;29609181;143;231;2;4
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleJaccard;0.5;84;11723412;175;328;2;26;89;16747793;117;193;2;12
PostId_VersionCount_SO_17-06_sample_100_1;threeGramJaccard;0.7;97;17485203;228;470;1;32;97;24172134;145;233;2;5
