MetricType;Metric;Threshold;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;RuntimeText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;RuntimeCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleConnections;TextBlockVersionCount;PossibleConnectionsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleConnectionsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
EDIT;levenshteinNormalized;0.3;0.9654228938592597;0.9761776345852626;0.9707853711825243;0.9775447793796417;74706574673;0.9785806273718505;0.9824721866994883;0.9805244764083041;0.9852974440171908;122476495136;700;3005;14280;42604;8066;24586;5594;18735;83;174;0;0.9853796019024132;0.9698335644937587;0.9907980326828494;0.9955893293655012;0.0;6214;18018;4356;13532;52;78;0;0.9882032667876588;0.9824086603518268;0.9942689199118295;0.9961719670200235;0.0
PROFILE;cosineThreeShingleNormalizedBool;0.9;0.8071338210280268;0.9425625777864997;0.8722236725558669;0.8928502971056163;15044979804;0.8852192781127521;0.9617790476259882;0.922705453676008;0.9384780790825469;17044966143;700;3005;14280;42604;8066;24586;4658;18810;8;1110;4519;0.9982854693527646;0.8075589459084604;0.9442771084337349;0.9995748751195663;0.18380379077523795;6214;18018;3928;13575;9;506;1097;0.9977139954279909;0.8858818222823636;0.9640650521979973;0.9993374558303887;0.06088356088356088
SET;twoShingleDice;0.8;0.8626010279649328;0.9562195688231432;0.9082048133692247;0.9252345128633789;6440574729;0.9056735736223942;0.9671734468787667;0.93591849642337;0.9495689146096611;7293586356;700;3005;14280;42604;8066;24586;4981;18800;18;787;2813;0.9963992798559712;0.8635575589459085;0.9598202889671721;0.9990434690190243;0.11441470755714635;6214;18018;4020;13571;13;414;1019;0.9967765931068684;0.9066305818673883;0.9703968537718984;0.9990429917550059;0.05655455655455655
SET;twoShingleOverlapNormalized;0.3;0.9721922963362166;0.9723092057469194;0.9722507492843295;0.9787602947550932;12835379046;0.9750002390777337;0.9776789139065227;0.9763386578437416;0.9821468926553673;14999835935;700;3005;14280;42604;8066;24586;5645;18696;122;123;2354;0.9788451534593376;0.9786754507628294;0.9934640522875817;0.9935168455733872;0.09574554624583097;6214;18018;4346;13514;70;88;65;0.9841485507246377;0.9801533603969328;0.993530363181885;0.9948468786808009;0.0036075036075036075
EDIT;longestCommonSubsequenceNormalized;1.0;0.6667430547581188;0.9063160230022398;0.7773544325163027;0.7998752469071629;130659812020;0.8025923198668816;0.9384099749396553;0.8678482809645013;0.8902225556389097;158554926264;700;3005;14280;42604;8066;24586;3847;18814;4;1921;0;0.9989613087509738;0.6669556171983356;0.907354714251266;0.9997874375597832;0.0;6214;18018;3560;13580;4;874;0;0.9988776655443322;0.8028867839422643;0.9395323093953231;0.9997055359246172;0.0
SET;threeGramJaccardNormalized;0.1;0.9794207091242206;0.9745155862356236;0.9769650692442898;0.9823803765762652;11720442304;0.9793636069498302;0.9787691121197901;0.9790663144122163;0.9842200180342651;13964128598;700;3005;14280;42604;8066;24586;5687;18695;123;81;355;0.978829604130809;0.9859570041608876;0.9956859821048146;0.993463704963333;0.014439111689579436;6214;18018;4366;13512;72;68;0;0.9837764758900406;0.9846639603067208;0.9949926362297496;0.9946996466431095;0.0
SET;tokenJaccardNormalized;0.1;0.9801002419113876;0.9751917157949468;0.9776428982816826;0.9828986007946104;12828742372;0.9810848670169952;0.9803406366996492;0.9807126812618626;0.9854615124535105;14386004267;700;3005;14280;42604;8066;24586;5690;18698;120;78;587;0.9793459552495697;0.9864771151178918;0.9958457605453771;0.9936231267934956;0.02387537623037501;6214;18018;4372;13517;67;62;0;0.9849065104753323;0.9860171402796571;0.9954341262243169;0.995067726737338;0.0
FINGERPRINT;winnowingThreeGramJaccard;0.6;0.9174697397024039;0.969097554973211;0.9429303693844567;0.9548933105248942;4986537131;0.9638790402144686;0.9831095063530513;0.9734467871482751;0.9797506006177783;8307102669;700;3005;14280;42604;8066;24586;5303;18782;36;465;280;0.9932571642629706;0.919382801664355;0.9758403907102405;0.9980869380380487;0.011388595135442934;6214;18018;4282;13559;25;152;0;0.9941954957046668;0.9657194406856112;0.9889140106483845;0.9981595995288575;0.0
SET;twoShingleDiceNormalized;0.2;0.9762947366915937;0.9774708475910296;0.9768826151450302;0.9823008849557522;12867069188;0.9835422872726172;0.9841405675303729;0.9838413819242382;0.9878158844765342;14776851451;700;3005;14280;42604;8066;24586;5661;18721;97;107;2354;0.9831538728725252;0.9814493758668515;0.9943169747185043;0.9948453608247423;0.09574554624583097;6214;18018;4378;13532;52;56;65;0.9882618510158013;0.9873703202525936;0.9958787165145717;0.9961719670200235;0.0036075036075036075
FINGERPRINT;winnowingTwoGramOptimalAlignmentNormalized;0.9;0.7999054082400228;0.9407790742096327;0.8674873309849123;0.8884611683187373;43163380299;0.8905583819856522;0.9631846164056546;0.9261598855163674;0.9414006669842782;85814860893;700;3005;14280;42604;8066;24586;4616;18811;7;1152;4;0.9984858317110101;0.8002773925104022;0.9422932424986225;0.9996280157296206;1.6269421622061337E-4;6214;18018;3952;13574;10;482;0;0.9974760222110045;0.8912945421741092;0.9657085941946499;0.999263839811543;0.0
