metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
cosineThreeShingleNormalizedTermFrequency;0.3;538;507923803;3757;10691;69;88;667;666116355;3879;11082;51;78
manhattanTokenNormalized;0.9;699;323812342;4784;18802;19;981;699;324746964;3973;13572;16;457
threeShingleJaccardNormalized;0.5;538;447750841;3507;10725;35;338;667;601273575;3748;11100;33;209
winnowingThreeGramLongestCommonSubsequenceNormalized;0.8;679;751948376;4706;18014;20;889;699;2020890204;4080;13568;20;350
cosineFiveGramNormalizedNormalizedTermFrequency;0.7;658;850492582;4990;17048;51;390;697;927535726;4271;13513;49;151
cosineThreeShingleNormalizedBool;0.3;538;508065601;3760;10689;71;85;667;661171690;3880;11082;51;77
twoShingleOverlap;0.8;596;229892710;4190;13587;75;342;651;275658055;3640;11369;40;293
tokenOverlap;0.4;699;126784508;5623;18675;146;142;699;163678148;4339;13506;82;91
fourGramJaccardNormalizedPadding;0.9;665;537809420;4232;17430;11;1213;699;647566860;3894;13574;14;536
threeGramOverlapNormalizedPadding;0.5;679;486632496;5501;17899;135;94;699;583366685;4349;13499;89;81
winnowingTwoGramOverlapNormalized;0.5;697;372405499;5572;18603;215;190;699;475451501;4309;13469;119;121
winnowingFiveGramLongestCommonSubsequence;0.6;665;398908270;4949;17457;36;504;699;1725882968;4231;13554;34;199
fiveGramJaccard;0.9;665;450473912;4233;17481;12;1220;699;569048922;3880;13573;15;550
winnowingFiveGramLongestCommonSubsequence;0.4;665;398840394;5167;17430;63;286;699;1717428337;4314;13534;54;116
winnowingThreeGramJaccard;0.9;686;236441417;4474;18284;14;1178;699;365895242;3938;13572;16;492
levenshteinNormalized;0.3;699;2886038576;5573;18713;108;192;699;6114599225;4341;13515;73;89
threeGramOverlap;0.3;686;371013536;5523;18109;189;129;699;471773828;4328;13475;113;102
winnowingTwoGramDiceNormalized;0.8;697;359699917;5276;18769;49;486;699;471415632;4260;13550;38;170
cosineTwoShingleNormalizedNormalizedTermFrequency;0.3;616;564143302;4656;14401;90;95;692;672521409;4315;13425;68;71
cosineTokenNormalizedNormalizedTermFrequency;0.4;699;334625119;5640;18704;117;125;699;328872200;4357;13526;62;73
winnowingFourGramOverlap;0.6;674;215112436;5385;17772;149;171;699;350512185;4332;13507;81;98
winnowingFiveGramOverlapNormalized;0.4;658;329124788;5243;16966;133;137;697;456460552;4322;13473;89;100
twoShingleDiceNormalized;0.5;616;482619768;4547;14420;71;204;692;609064762;4274;13443;50;112
tokenJaccardNormalized;0.6;670;565601904;5060;17719;39;463;699;634091158;4250;13547;41;180
threeGramOverlap;0.4;686;372755693;5517;18115;183;135;699;471304650;4334;13483;105;96
winnowingTwoGramDice;0.4;699;240953700;5626;18689;132;139;699;355325996;4364;13508;80;66
winnowingTwoGramOverlap;0.6;699;241541154;5569;18608;213;196;699;358536059;4321;13478;110;109
threeShingleDiceNormalized;0.9;538;433891229;3010;10754;6;835;667;584675016;3478;11120;13;479
levenshteinNormalized;0.4;699;2880826979;5518;18745;76;247;699;6075753110;4329;13527;61;101
