metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotalRelative;truePositivesTextRelative;trueNegativesTextRelative;falsePositivesTextRelative;falseNegativesTextRelative;numberOfCodePostsWithThisMetric;runtimeCodeTotalRelative;truePositivesCodeRelative;trueNegativesCodeRelative;falsePositivesCodeRelative;falseNegativesCodeRelative
fiveGramOverlapNormalizedPadding;0.3;658;753625.2142857143;8.048632218844984;25.785714285714285;0.2006079027355623;0.1276595744680851;697;894395.3400286944;6.228120516499283;19.324246771879483;0.133428981348637;0.11621233859397417
manhattanTwoShingleNormalized;0.6;616;902754.7353896104;7.233766233766234;23.43668831168831;0.08766233766233766;0.4788961038961039;692;968130.3742774567;6.121387283236994;19.43208092485549;0.06647398843930635;0.21676300578034682
manhattanThreeGramNormalized;0.4;679;1139663.6936671576;8.010309278350515;26.416789396170838;0.14285714285714285;0.22974963181148747;699;1168945.5751072962;6.223175965665236;19.3519313304721;0.08726752503576538;0.11444921316165951
winnowingFiveGramOverlapNormalized;0.7;658;495140.24468085106;7.831306990881459;25.803951367781156;0.182370820668693;0.34498480243161095;697;652833.4347202296;6.15351506456241;19.352941176470587;0.10473457675753228;0.1908177905308465
fourGramDiceNormalized;0.5;665;714002.4992481204;7.8766917293233085;26.1203007518797;0.10676691729323308;0.3112781954887218;699;841102.1072961374;6.2031473533619454;19.356223175965667;0.08297567954220315;0.13447782546494993
winnowingThreeGramJaccard;0.3;686;349090.5247813411;7.975218658892128;26.533527696793;0.13994169096209913;0.26384839650145775;699;525755.4678111587;6.234620886981402;19.34620886981402;0.09298998569384835;0.10300429184549356
manhattanTwoGramNormalized;0.4;697;894306.2668579627;8.03012912482066;26.82496413199426;0.17360114777618366;0.23672883787661406;699;978357.1258941345;6.228898426323319;19.337625178826894;0.10157367668097282;0.10872675250357654
twoGramOverlapNormalizedPadding;0.3;697;638298.1090387375;8.104734576757533;26.713055954088954;0.2855093256814921;0.16212338593974174;699;773574.1874105865;6.198855507868384;19.266094420600858;0.17310443490701002;0.13876967095851217
winnowingFiveGramOverlap;0.6;665;307198.2766917293;7.93984962406015;26.106766917293232;0.19849624060150375;0.26015037593984963;699;508609.9942775393;6.1816881258941345;19.32761087267525;0.11158798283261803;0.15593705293276108
winnowingThreeGramJaccardNormalized;0.4;679;535936.1605301915;7.840942562592047;26.456553755522826;0.10309278350515463;0.39911634756995584;699;688795.8555078683;6.190271816881259;19.363376251788267;0.07582260371959942;0.1473533619456366
cosineTwoShingleNormalizedTermFrequency;0.7;616;920159.2012987013;7.128246753246753;23.441558441558442;0.08279220779220779;0.5844155844155844;692;980010.2297687861;6.072254335260116;19.4378612716763;0.06069364161849711;0.2658959537572254
fourGramOverlapNormalized;0.4;665;713098.0947368421;8.010526315789473;26.0;0.22706766917293233;0.1774436090225564;699;906668.505007153;6.177396280400572;19.281831187410585;0.15736766809728184;0.16022889842632332
threeGramJaccard;0.9;686;609394.3731778426;6.565597667638484;26.65014577259475;0.023323615160349854;1.6734693877551021;699;730282.4935622318;5.642346208869814;19.413447782546495;0.02575107296137339;0.6952789699570815
cosineTwoShingleNormalizedBool;0.7;616;917036.6607142857;7.1103896103896105;23.446428571428573;0.07792207792207792;0.6022727272727273;692;973343.2095375722;6.053468208092486;19.430635838150287;0.06791907514450866;0.2846820809248555
cosineFiveGramNormalizedBool;0.7;658;1274510.4908814589;7.557750759878419;25.914893617021278;0.07142857142857142;0.6185410334346505;697;1314014.9827833571;6.111908177905309;19.393113342898136;0.06456241032998565;0.23242467718794835
twoShingleDiceNormalized;0.3;616;786697.9626623377;7.51948051948052;23.391233766233768;0.1331168831168831;0.19318181818181818;692;874656.0520231214;6.22543352601156;19.40606936416185;0.09248554913294797;0.11271676300578035
fourGramOverlap;0.8;674;567223.2700296736;7.899109792284866;26.385756676557865;0.2032640949554896;0.34421364985163205;699;715723.912732475;6.150214592274678;19.339055793991417;0.10014306151645208;0.18741058655221746
winnowingFourGramDiceNormalized;0.4;665;495555.1789473684;7.920300751879699;26.093233082706767;0.13383458646616542;0.26766917293233083;699;655181.4334763949;6.208869814020028;19.353361945636625;0.08583690987124463;0.12875536480686695
threeGramJaccardNormalized;0.7;679;771006.6435935199;7.331369661266568;26.5139911634757;0.045655375552282766;0.9086892488954345;699;876926.592274678;6.005722460658083;19.38769670958512;0.05150214592274678;0.3319027181688126
winnowingThreeGramOverlap;0.9;686;329122.38192419824;7.723032069970846;26.466472303207;0.20699708454810495;0.5160349854227405;699;510073.89985693846;6.055793991416309;19.344778254649498;0.0944206008583691;0.28183118741058655
manhattanFiveGramNormalized;0.8;658;1251964.237082067;7.183890577507599;25.95288753799392;0.03343465045592705;0.9924012158054711;697;1287756.299856528;5.987087517934003;19.41176470588235;0.04591104734576758;0.35724533715925394
tokenDiceNormalized;0.7;670;740142.3044776119;7.670149253731343;26.429850746268656;0.07462686567164178;0.573134328358209;699;828026.5379113018;6.128755364806867;19.371959942775394;0.06723891273247497;0.2088698140200286
